counterparty_id,counterparty_name,country
CP20215,John Volkov,United States
CP20216,Reza Rahimi,United Arab Emirates
CP20217,John Wilson,United States
CP20218,Jin Karimi,Russia
CP20219,Mohammed Mansour,Mexico
CP20220,Karim Nouri,Russia
CP20221,Yousef Rahimi,Iran
CP20222,Nikolai Wilson,Iran
CP20223,Sergei Wang,United Arab Emirates
CP20224,Peter Ivanov,Mexico
CP20225,John Sokolov,Canada
CP20226,Ahmed Ivanov,Russia
CP20227,Reza Sokolov,Iran
CP20228,Yousef Zhang,India
CP20229,Karim Sokolov,Turkey
CP20230,Ahmed Volkov,Russia
CP20231,Farid Lee,United States
CP20232,Hassan Mansour,Canada
CP20233,Sara Lee,Turkey
CP20234,Ali Ivanov,Turkey
CP20235,Anna Sokolov,Turkey
CP20236,Reza Brown,Turkey
CP20237,Ali Smith,Mexico
CP20238,Ali Al Rashid,Nigeria
CP20239,Yousef Brown,United Kingdom
CP20240,Peter Mansour,United Kingdom
CP20241,Ali Petrov,Nigeria
CP20242,Reza Zhang,India
CP20243,Mohammed Petrov,Canada
CP20244,Samir Petrov,Turkey
CP20245,Ahmed Nouri,Mexico
CP20246,Wei Al Rashid,Canada
CP20247,Karim Haddad,Mexico
CP20248,Hassan Lee,Russia
CP20249,Peter Ivanov,Syria
CP20250,Farid Wilson,Russia
CP20251,Anna Petrov,Syria
CP20252,Peter Haddad,Mexico
CP20253,Wei Wilson,Belarus
CP20254,Anna Lee,United Arab Emirates
CP20255,Peter Rahimi,Turkey
CP20256,Mohammed Haddad,United States
CP20257,Sergei Haddad,Nigeria
CP20258,Peter Sokolov,Canada
CP20259,Reza Lee,Canada
CP20260,Hassan Al Rashid,Russia
CP20261,John Nouri,India
CP20262,Mohammed Haddad,Syria
CP20263,Reza Hosseini,Iran
CP20264,Farid Brown,Syria
CP20265,Wei Hosseini,Canada
CP20266,Omar Karimi,United Arab Emirates
CP20267,Mark Al Rashid,Canada
CP20268,Nikolai Petrov,India
CP20269,Omar Khalil,United Arab Emirates
CP20270,Jin Wang,Nigeria
CP20271,Peter Rahimi,Russia
CP20272,Omar Haddad,United States
CP20273,Jin Wang,India
CP20274,Mohammed Zhang,Nigeria
CP20275,Jin Mansour,Syria
CP20276,Anna Khalil,Turkey
CP20277,Sergei Rahimi,United States
CP20278,Ali Khalil,Mexico
CP20279,Mark Hosseini,Mexico
CP20280,Sergei Petrov,Belarus
CP20281,Wei Al Rashid,Russia
CP20282,Karim Smith,Mexico
CP20283,Viktor Wang,Mexico
CP20284,Viktor Khalil,Mexico
CP20285,Viktor Nouri,United Kingdom
CP20286,Sergei Rahimi,Canada
CP20287,Jin Lee,United Kingdom
CP20288,Karim Zhang,Belarus
CP20289,Omar Petrov,United States
CP20290,Nikolai Sokolov,United States
CP20291,Mohammed Hosseini,United States
CP20292,Nikolai Mansour,Syria
CP20293,Sergei Volkov,Syria
CP20294,Samir Petrov,United Arab Emirates
CP20295,Viktor Lee,Mexico
CP20296,Anna Wilson,Nigeria
CP20297,Anna Zhang,Iran
CP20298,John Mansour,Mexico
CP20299,Ahmed Mansour,Syria
CP20300,John Wilson,Mexico
CP20301,Samir Wang,Iran
CP20302,Hassan Smith,Syria
CP20303,Ahmed Zhang,Russia
CP20304,Ali Lee,Iran
CP20305,John Wilson,United States
CP20306,Mohammed Haddad,United States
CP20307,Peter Mansour,Mexico
CP20308,Ali Al Rashid,United States
CP20309,Reza Al Rashid,United Kingdom
CP20310,Nikolai Mansour,Turkey
CP20311,Sergei Wang,Russia
CP20312,Reza Brown,Nigeria
CP20313,Nikolai Smith,India
CP20314,Nikolai Al Rashid,Canada
CP20315,Sara Wang,United Kingdom
CP20316,Mark Brown,India
CP20317,Mohammed Nouri,Turkey
CP20318,Reza Hosseini,United Kingdom
CP20319,Sara Lee,United Kingdom
CP20320,Karim Wang,United Arab Emirates
CP20321,Anna Nouri,Turkey
CP20322,Hassan Smith,Belarus
CP20323,Ali Brown,Canada
CP20324,Mohammed Rahimi,Syria
CP20325,Hassan Hosseini,India
CP20326,Yousef Karimi,Syria
CP20327,Viktor Nouri,Turkey
CP20328,Sergei Wilson,Iran
CP20329,Viktor Rahimi,Mexico
CP20330,Reza Khalil,Canada
CP20331,Anna Lee,Iran
CP20332,Anna Wilson,United Arab Emirates
CP20333,Reza Wilson,Canada
CP20334,Reza Wilson,India
CP20335,Hassan Sokolov,Syria
CP20336,Sara Lee,Russia
CP20337,Samir Brown,Syria
CP20338,Anna Wang,Nigeria
CP20339,Samir Hosseini,United Kingdom
CP20340,Yousef Petrov,Mexico
CP20341,Ali Al Rashid,Canada
CP20342,Omar Rahimi,Canada
CP20343,John Petrov,Turkey
CP20344,Wei Rahimi,Iran
CP20345,Mark Rahimi,Turkey
CP20346,Jin Ivanov,Belarus
CP20347,Peter Mansour,Turkey
CP20348,Karim Sokolov,Iran
CP20349,Mark Khalil,Belarus
CP20350,Karim Haddad,Mexico
CP20351,Yousef Al Rashid,United Kingdom
CP20352,Wei Volkov,Mexico
CP20353,Yousef Wilson,Syria
CP20354,Yousef Volkov,India
CP20355,Sara Zhang,Turkey
CP20356,Anna Hosseini,Canada
CP20357,Karim Karimi,United States
CP20358,Farid Khalil,Mexico
CP20359,Sara Sokolov,Iran
CP20360,Ivan Wang,Nigeria
CP20361,Sara Nouri,Mexico
CP20362,Peter Nouri,Russia
CP20363,Nikolai Khalil,Nigeria
CP20364,Karim Khalil,Syria
CP20365,Farid Lee,Russia
CP20366,Peter Petrov,United Kingdom
CP20367,Hassan Sokolov,Nigeria
CP20368,Ahmed Sokolov,Nigeria
CP20369,Yousef Hosseini,United Arab Emirates
CP20370,Samir Wilson,Syria
CP20371,Viktor Wilson,Canada
CP20372,Ivan Al Rashid,Turkey
CP20373,Omar Sokolov,Turkey
CP20374,Anna Khalil,Syria
CP20375,Nikolai Brown,India
CP20376,Viktor Volkov,Canada
CP20377,Jin Ivanov,Turkey
CP20378,Jin Nouri,Syria
CP20379,Farid Haddad,United Kingdom
CP20380,Karim Volkov,United States
CP20381,Karim Haddad,Nigeria
CP20382,Samir Hosseini,Iran
CP20383,Peter Al Rashid,Syria
CP20384,Mohammed Volkov,Belarus
CP20385,Sara Khalil,Turkey
CP20386,Ali Wang,United Kingdom
CP20387,Ali Brown,Nigeria
CP20388,Nikolai Nouri,United States
CP20389,Hassan Petrov,Iran
CP20390,Omar Petrov,United States
CP20391,Nikolai Nouri,Russia
CP20392,John Hosseini,United Arab Emirates
CP20393,Farid Lee,Syria
CP20394,Ahmed Ivanov,Belarus
CP20395,Omar Zhang,United Arab Emirates
CP20396,Wei Sokolov,Belarus
CP20397,Sara Wang,Belarus
CP20398,Sara Wilson,Syria
CP20399,Ivan Hosseini,India
CP20400,Nikolai Wang,Belarus
CP20401,Sara Al Rashid,Russia
CP20402,Reza Ivanov,Belarus
CP20403,Wei Wang,Russia
CP20404,Yousef Smith,Mexico
CP20405,Reza Brown,Iran
CP20406,Reza Wilson,United Arab Emirates
CP20407,Hassan Volkov,Nigeria
CP20408,Mark Wilson,Turkey
CP20409,Jin Volkov,Russia
CP20410,Wei Ivanov,Turkey
CP20411,Wei Sokolov,Belarus
CP20412,Ali Rahimi,Nigeria
CP20413,Anna Sokolov,Syria
CP20414,Ivan Brown,United States
CP20415,Farid Al Rashid,Belarus
CP20416,Peter Petrov,Belarus
CP20417,Hassan Ivanov,Canada
CP20418,Ivan Wang,United States
CP20419,Samir Mansour,Iran
CP20420,Nikolai Khalil,Russia
CP20421,Mohammed Rahimi,Iran
CP20422,Sara Petrov,Turkey
CP20423,Ivan Petrov,Canada
CP20424,Reza Haddad,Syria
CP20425,Hassan Wilson,United Arab Emirates
CP20426,Samir Smith,Russia
CP20427,Ahmed Rahimi,United Arab Emirates
CP20428,Samir Ivanov,Iran
CP20429,Mohammed Wang,Nigeria
CP20430,Jin Rahimi,Turkey
CP20431,Ahmed Petrov,United Arab Emirates
CP20432,Reza Petrov,India
CP20433,Ahmed Hosseini,Nigeria
CP20434,Ali Sokolov,Russia
CP20435,Mohammed Wang,United Kingdom
CP20436,Farid Rahimi,Nigeria
CP20437,Peter Karimi,Canada
CP20438,Viktor Hosseini,Nigeria
CP20439,Ali Mansour,Belarus
CP20440,Wei Smith,Iran
CP20441,Yousef Smith,Russia
CP20442,Anna Wilson,Belarus
CP20443,Mohammed Wang,Canada
CP20444,Peter Hosseini,United Arab Emirates
CP20445,Mohammed Karimi,United Arab Emirates
CP20446,Omar Brown,Turkey
CP20447,Jin Karimi,Nigeria
CP20448,Viktor Rahimi,India
CP20449,Reza Khalil,Nigeria
CP20450,Ivan Brown,Turkey
CP20451,Sara Petrov,Syria
CP20452,Sara Ivanov,United Arab Emirates
CP20453,Samir Lee,United Arab Emirates
CP20454,Mark Ivanov,Turkey
CP20455,Omar Wang,India
CP20456,Farid Volkov,Nigeria
CP20457,Sara Brown,Russia
CP20458,Omar Zhang,Nigeria
CP20459,Ali Brown,Turkey
CP20460,Ahmed Khalil,India
CP20461,Karim Sokolov,Syria
CP20462,Reza Volkov,Syria
CP20463,Ali Ivanov,United Arab Emirates
CP20464,Viktor Ivanov,India
CP20465,Hassan Sokolov,United Kingdom
CP20466,Hassan Rahimi,United States
CP20467,Hassan Wang,Iran
CP20468,Farid Smith,Belarus
CP20469,Peter Ivanov,Canada
CP20470,Sergei Rahimi,United States
CP20471,Omar Hosseini,Russia
CP20472,Sergei Khalil,North Korea
CP20473,Samir Nouri,Turkey
CP20474,Ivan Brown,United States
CP20475,Ali Hosseini,Belarus
CP20476,Reza Wang,India
CP20477,Sara Sokolov,Russia
CP20478,Mohammed Karimi,Mexico
CP20479,Mark Hosseini,United Kingdom
CP20480,Wei Wang,Syria
CP20481,Mohammed Sokolov,India
CP20482,Mohammed Karimi,Nigeria
CP20483,Anna Al Rashid,United Arab Emirates
CP20484,Ali Sokolov,Turkey
CP20485,John Wilson,Belarus
CP20486,Farid Wilson,Syria
CP20487,Anna Mansour,Nigeria
CP20488,Nikolai Haddad,Canada
CP20489,John Hosseini,Nigeria
CP20490,Anna Hosseini,Nigeria
CP20491,Ali Ivanov,United Arab Emirates
CP20492,Samir Petrov,Turkey
CP20493,Karim Wang,United States
CP20494,Sergei Wilson,United States
CP20495,Hassan Al Rashid,Turkey
CP20496,Peter Lee,Russia
CP20497,Viktor Smith,Mexico
CP20498,Samir Haddad,United States
CP20499,Ahmed Lee,United Arab Emirates
CP20500,Sara Khalil,Nigeria
CP20501,Mohamed Zhang,North Korea
CP20502,Omar Karimi,United Arab Emirates
CP20503,Farid Wang,Russia
CP20504,Karim Al Rashid,Syria
CP20505,Ahmed Sokolov,Belarus
CP20506,Nikolai Sokolov,Russia
CP20507,Wei Khalil,Mexico
CP20508,Nikolai Petrov,United Kingdom
CP20509,Jin Rahimi,United Kingdom
CP20510,Peter Lee,United States
CP20511,Jin Brown,United Arab Emirates
CP20512,Ahmed Petrov,United Kingdom
CP20513,John Sokolov,Syria
CP20514,Samir Ivanov,Nigeria
CP20515,Peter Ivanov,Canada
CP20516,Wei Ivanov,Canada
CP20517,Mark Haddad,Canada
CP20518,Reza Wang,India
CP20519,Viktor Ivanov,United Kingdom
CP20520,Ahmed Hosseini,Iran
CP20521,Peter Wilson,Mexico
CP20522,Ivan Al Rashid,Canada
CP20523,Nikolai Sokolov,United Kingdom
CP20524,Reza Karimi,Nigeria
CP20525,Hassan Lee,Belarus
CP20526,Ahmed Sokolov,Iran
CP20527,Wei Nouri,United Kingdom
CP20528,Ahmed Mansour,Nigeria
CP20529,Mark Volkov,India
CP20530,Mohammed Smith,Russia
CP20531,Samir Rahimi,United Kingdom
CP20532,Karim Karimi,Syria
CP20533,Anna Petrov,Russia
CP20534,Jin Rahimi,United Arab Emirates
CP20535,Sara Smith,Russia
CP20536,Samir Haddad,Iran
CP20537,Sergei Hosseini,Syria
CP20538,Hassan Rahimi,Iran
CP20539,Ivan Wilson,United Arab Emirates
CP20540,Farid Wilson,Iran
CP20541,Mohammed Mansour,Nigeria
CP20542,John Zhang,Nigeria
CP20543,Anna Mansour,Turkey
CP20544,Mark Hosseini,Turkey
CP20545,Hassan Rahimi,United Kingdom
CP20546,Sara Petrov,Nigeria
CP20547,Karim Wang,United States
CP20548,Omar Ivanov,Mexico
CP20549,Ali Haddad,Nigeria
CP20550,Samir Karimi,Syria
CP20551,Sergei Sokolov,Russia
CP20552,Wei Lee,Belarus
CP20553,Nikolai Karimi,India
CP20554,Yousef Nouri,Turkey
CP20555,Jin Khalil,Nigeria
CP20556,Wei Nouri,Syria
CP20557,Peter Smith,Iran
CP20558,Viktor Karimi,Nigeria
CP20559,Mark Volkov,Nigeria
CP20560,Ahmed Khalil,Belarus
CP20561,Jin Volkov,Turkey
CP20562,Ahmed Wang,Iran
CP20563,Omar Sokolov,Belarus
CP20564,Nikolai Brown,United Kingdom
CP20565,Ahmed Ivanov,Turkey
CP20566,Ivan Sokolov,Turkey
CP20567,Omar Petrov,Belarus
CP20568,Karim Hosseini,United Arab Emirates
CP20569,Ahmed Zhang,Turkey
CP20570,Yousef Ivanov,Iran
CP20571,John Brown,Mexico
CP20572,Jin Smith,Mexico
CP20573,Wei Volkov,Belarus
CP20574,Mohammed Volkov,Canada
CP20575,Sara Rahimi,United Kingdom
CP20576,Ali Wang,India
CP20577,Viktor Ivanov,United Arab Emirates
CP20578,Peter Khalil,Belarus
CP20579,Mark Karimi,Syria
CP20580,Ali Karimi,United States
CP20581,Hassan Sokolov,Belarus
CP20582,Mohammed Wang,Iran
CP20583,Mohammed Volkov,United States
CP20584,Mohammed Nouri,United Kingdom
CP20585,John Brown,Mexico
CP20586,Anna Sokolov,Nigeria
CP20587,Hassan Volkov,United Arab Emirates
CP20588,Ali Lee,Iran
CP20589,Viktor Hosseini,United States
CP20590,Yousef Hosseini,United States
CP20591,Anna Zhang,Nigeria
CP20592,Wei Lee,India
CP20593,John Sokolov,Russia
CP20594,Sara Nouri,Syria
CP20595,Hassan Khalil,United Arab Emirates
CP20596,Sara Khalil,Canada
CP20597,Yousef Hosseini,Canada
CP20598,Sergei Haddad,Turkey
CP20599,Reza Haddad,United States
CP20600,Ali Nouri,Nigeria
CP20601,John Wang,Russia
CP20602,Anna Rahimi,India
CP20603,Samir Wilson,Belarus
CP20604,Viktor Wang,Nigeria
CP20605,Ali Lee,Syria
CP20606,Sara Lee,United Arab Emirates
CP20607,Jin Rahimi,Russia
CP20608,Ali Wang,United Kingdom
CP20609,Ivan Al Rashid,United Kingdom
CP20610,Karim Karimi,India
CP20611,Sara Lee,United Kingdom
CP20612,Anna Haddad,Nigeria
CP20613,Mark Hosseini,Turkey
CP20614,Wei Karimi,Belarus
CP20615,Mohammed Sokolov,United States
CP20616,Farid Mansour,United Arab Emirates
CP20617,Sara Wilson,United Arab Emirates
CP20618,Ivan Zhang,Syria
CP20619,Ahmed Smith,Russia
CP20620,Nikolai Nouri,United States
CP20621,Yousef Sokolov,Nigeria
CP20622,Mark Petrov,Mexico
CP20623,Ali Hosseini,United States
CP20624,Jin Lee,Belarus
CP20625,Ahmed Haddad,Belarus
CP20626,Omar Haddad,North Korea
CP20627,Mark Wang,Iran
CP20628,Nikolai Mansour,Mexico
CP20629,Ali Petrov,Mexico
CP20630,Hassan Lee,India
CP20631,Jin Wang,Canada
CP20632,Samir Mansour,Canada
CP20633,Wei Rahimi,India
CP20634,Wei Wang,Iran
CP20635,Samir Haddad,Nigeria
CP20636,Ali Al Rashid,United Arab Emirates
CP20637,Ali Hosseini,Canada
CP20638,Sergei Wilson,Syria
CP20639,Hassan Lee,Syria
CP20640,Yousef Haddad,Belarus
CP20641,Karim Brown,India
CP20642,Hassan Haddad,India
CP20643,Mark Sokolov,Russia
CP20644,Anna Haddad,Mexico
CP20645,Sergei Lee,United Arab Emirates
CP20646,Jin Wilson,Nigeria
CP20647,Karim Wilson,Nigeria
CP20648,Farid Smith,Russia
CP20649,Yousef Lee,Nigeria
CP20650,Yousef Zhang,United Arab Emirates
CP20651,John Petrov,Iran
CP20652,Viktor Hosseini,India
CP20653,Ivan Smith,United Kingdom
CP20654,Sergei Al Rashid,Russia
CP20655,Mohammed Brown,United States
CP20656,Sara Lee,United States
CP20657,Mohammed Mansour,Canada
CP20658,Yousef Sokolov,United Arab Emirates
CP20659,Reza Mansour,Nigeria
CP20660,Viktor Lee,United Kingdom
CP20661,Omar Ivanov,Syria
CP20662,Reza Rahimi,Nigeria
CP20663,Yousef Wilson,Turkey
CP20664,Mark Haddad,Nigeria
CP20665,Ahmed Smith,Russia
CP20666,Karim Petrov,Mexico
CP20667,Jin Nouri,Syria
CP20668,Ali Hosseini,United Arab Emirates
CP20669,Viktor Sokolov,United Kingdom
CP20670,Sergei Hosseini,India
CP20671,Sergei Al Rashid,Turkey
CP20672,Sergei Mansour,United States
CP20673,Ali Lee,United Kingdom
CP20674,Reza Rahimi,India
CP20675,Sara Mansour,United Kingdom
CP20676,Wei Smith,India
CP20677,Nikolai Smith,Canada
CP20678,Mohammed Mansour,Russia
CP20679,Viktor Karimi,Iran
CP20680,Ivan Rahimi,Syria
CP20681,Nikolai Zhang,Nigeria
CP20682,Yousef Ivanov,Russia
CP20683,Sara Hosseini,Iran
CP20684,Peter Haddad,Russia
CP20685,Peter Wilson,Belarus
CP20686,Samir Wang,United Kingdom
CP20687,Omar Hosseini,Iran
CP20688,Omar Wilson,United Arab Emirates
CP20689,Ivan Rahimi,Syria
CP20690,Sergei Wang,Turkey
CP20691,John Sokolov,Syria
CP20692,Wei Zhang,Turkey
CP20693,Samir Brown,Nigeria
CP20694,Karim Lee,United Arab Emirates
CP20695,Sara Haddad,India
CP20696,Ahmed Rahimi,Belarus
CP20697,Reza Smith,United States
CP20698,Nikolai Haddad,Canada
CP20699,Mark Mansour,Turkey
CP20700,Karim Ivanov,Belarus
CP20701,Mark Wang,United Arab Emirates
CP20702,Mohammed Mansour,Iran
CP20703,Wei Sokolov,Canada
CP20704,Yousef Hosseini,Iran
CP20705,Yousef Rahimi,Iran
CP20706,Sara Zhang,Russia
CP20707,Wei Al Rashid,India
CP20708,Wei Nouri,Turkey
CP20709,Jin Mansour,Nigeria
CP20710,Mark Nouri,Russia
CP20711,Ali Karimi,Russia
CP20712,Farid Smith,Turkey
CP20713,Omar Rahimi,Russia
CP20714,Wei Petrov,Canada
CP20715,Ahmed Ivanov,United Kingdom
CP20716,Karim Hosseini,United Arab Emirates
CP20717,Yousef Lee,Nigeria
CP20718,Omar Nouri,Russia
CP20719,Omar Sokolov,United States
CP20720,Omar Lee,Iran
CP20721,Nikolai Hosseini,Turkey
CP20722,Wei Smith,Turkey
CP20723,Farid Petrov,Canada
CP20724,Mohammed Wilson,United Arab Emirates
CP20725,Nikolai Mansour,India
CP20726,Karim Lee,Canada
CP20727,Omar Rahimi,Syria
CP20728,Peter Lee,India
CP20729,Peter Mansour,Belarus
CP20730,Wei Karimi,Belarus
CP20731,Farid Volkov,United Arab Emirates
CP20732,Ivan Rahimi,Iran
CP20733,Karim Rahimi,Iran
CP20734,Peter Ivanov,Mexico
CP20735,Omar Zhang,United Kingdom
CP20736,Nikolai Haddad,India
CP20737,Mark Brown,United States
CP20738,Hassan Volkov,United States
CP20739,Sergei Wang,Syria
CP20740,Wei Nouri,United States
CP20741,Anna Zhang,United States
CP20742,Hassan Volkov,Syria
CP20743,Viktor Haddad,Nigeria
CP20744,Wei Rahimi,Canada
CP20745,Viktor Zhang,United Arab Emirates
CP20746,Sara Zhang,United Arab Emirates
CP20747,Sergei Sokolov,Syria
CP20748,Mark Petrov,Russia
CP20749,Viktor Al Rashid,Russia
CP20750,Viktor Ivanov,Syria
CP20751,Hassan Karimi,Iran
CP20752,Jin Al Rashid,India
CP20753,Farid Lee,Syria
CP20754,Hassan Brown,United Arab Emirates
CP20755,Ali Khalil,Syria
CP20756,John Petrov,India
CP20757,Peter Ivanov,Iran
CP20758,Viktor Smith,Nigeria
