customer_id,customer_name,country,customer_type,kyc_risk
CUST10190,Karim Karimi,Turkey,Individual,Moderate
CUST10191,Viktor Smith,Belarus,Individual,Moderate
CUST10192,Karim Haddad,Russia,Individual,Moderate
CUST10193,Yousef Sokolov,Mexico,Individual,Low
CUST10194,Yousef Wang,Syria,Individual,Low
CUST10195,Ahmed Karimi,Iran,Business,Moderate
CUST10196,Karim Wang,India,Individual,Low
CUST10197,Sarah Hosseini,Russia,Business,Moderate
CUST10198,John Brown,Mexico,Individual,Moderate
CUST10199,Ivan Ivanov,United Kingdom,Individual,Moderate
CUST10200,Mohammed Johnson,Canada,Individual,Low
CUST10201,Jin Haddad,United Kingdom,Individual,Low
CUST10202,Jin Brown,Iran,Individual,Moderate
CUST10203,Ivan Khalil,Belarus,Individual,Low
CUST10204,John Johnson,Turkey,Individual,Low
CUST10205,Nikolai Sokolov,Nigeria,Business,Moderate
CUST10206,Jin Ivanov,Iran,Individual,Moderate
CUST10207,Viktor Sokolov,United Kingdom,Individual,Low
CUST10208,David Nouri,Turkey,Individual,High
CUST10209,Karim Al Rashid,United States,Individual,Low
CUST10210,Yousef Khalil,United States,Individual,Moderate
CUST10211,Wei Rahimi,Russia,Individual,Low
CUST10212,Sergei Karimi,United Kingdom,Business,Moderate
CUST10213,Karim Johnson,United Arab Emirates,Business,Low
CUST10214,Samir Brown,Belarus,Individual,Moderate
CUST10215,Hassan Hosseini,Nigeria,Individual,Low
CUST10216,Ivan Ivanov,Belarus,Individual,Moderate
CUST10217,Michael Nouri,Iran,Individual,Moderate
CUST10218,Karim Nouri,United States,Individual,Moderate
CUST10219,Ivan Smith,Iran,Business,High
CUST10220,Yousef Zhang,Russia,Individual,High
CUST10221,James Zhang,Canada,Individual,Moderate
CUST10222,David Brown,India,Business,Low
CUST10223,Ahmed Zhang,Turkey,Individual,Low
CUST10224,Hassan Hosseini,Iran,Business,Low
CUST10225,Karim Mansour,Iran,Individual,Low
CUST10226,Reza Sokolov,Turkey,Individual,Low
CUST10227,Robert Smith,Nigeria,Individual,Low
CUST10228,Farid Haddad,Mexico,Individual,Moderate
CUST10229,Ali Rahimi,Canada,Business,High
CUST10230,Farid Mansour,Turkey,Individual,Moderate
CUST10231,Hassan Nouri,United Arab Emirates,Individual,Low
CUST10232,Ivan Haddad,Canada,Individual,High
CUST10233,Ahmed Hosseini,Turkey,Individual,Low
CUST10234,Nikolai Johnson,Belarus,Individual,Low
CUST10235,Reza Zhang,India,Business,Low
CUST10236,Farid Rahimi,Belarus,Individual,Moderate
CUST10237,Yousef Davis,India,Individual,Moderate
CUST10238,Robert Davis,United Kingdom,Individual,Low
CUST10239,Nikolai Miller,Nigeria,Individual,Low
CUST10240,James Karimi,United Arab Emirates,Individual,Moderate
CUST10241,Jin Johnson,Iran,Individual,Low
CUST10242,Ali Hosseini,Iran,Individual,Low
CUST10243,Sarah Petrov,Belarus,Individual,Low
CUST10244,David Rahimi,Turkey,Individual,Low
CUST10245,Wei Smith,Russia,Individual,Low
CUST10246,Mohammed Petrov,Nigeria,Individual,Low
CUST10247,Michael Miller,Nigeria,Business,Low
CUST10248,Nikolai Karimi,Mexico,Individual,Low
CUST10249,Yousef Khalil,Canada,Individual,Moderate
CUST10250,Omar Hosseini,Canada,Individual,Moderate
CUST10251,Robert Haddad,Iran,Individual,Moderate
CUST10252,Wei Nouri,Russia,Business,Low
CUST10253,Jin Rahimi,Iran,Individual,Moderate
CUST10254,Farid Hosseini,Nigeria,Business,Low
CUST10255,Viktor Davis,Canada,Individual,Low
CUST10256,Ahmed Sokolov,United Arab Emirates,Individual,Moderate
CUST10257,Mohammed Miller,United Kingdom,Individual,Low
CUST10258,Jin Hosseini,Mexico,Business,High
CUST10259,Samir Davis,United Arab Emirates,Individual,Low
CUST10260,David Ivanov,India,Individual,High
CUST10261,Ivan Smith,Nigeria,Individual,Low
CUST10262,Samir Zhang,Iran,Individual,Low
CUST10263,Robert Al Rashid,United States,Individual,High
CUST10264,Mohammed Smith,Turkey,Individual,Moderate
CUST10265,Omar Al Rashid,Syria,Individual,High
CUST10266,Reza Mansour,Nigeria,Individual,Low
CUST10267,Hassan Wang,United Arab Emirates,Individual,Low
CUST10268,Yousef Petrov,United Kingdom,Individual,Low
CUST10269,Yousef Johnson,Russia,Individual,Low
CUST10270,Yousef Karimi,United Arab Emirates,Individual,Moderate
CUST10271,Viktor Miller,Turkey,Business,Low
CUST10272,David Nouri,United Kingdom,Individual,Low
CUST10273,Yousef Miller,United Kingdom,Individual,Low
CUST10274,David Sokolov,Iran,Individual,Moderate
CUST10275,Omar Petrov,Syria,Individual,Moderate
CUST10276,Ali Rahimi,Canada,Individual,Low
CUST10277,Sergei Wang,Canada,Business,High
CUST10278,Michael Wang,India,Business,High
CUST10279,Ali Miller,Belarus,Individual,Moderate
CUST10280,Wei Karimi,Belarus,Individual,Low
CUST10281,Mohammed Al Rashid,Iran,Individual,Low
CUST10282,Michael Davis,Russia,Individual,Low
CUST10283,Michael Khalil,United Kingdom,Individual,Moderate
CUST10284,David Zhang,Iran,Individual,High
CUST10285,Yousef Davis,Turkey,Business,High
CUST10286,Nikolai Davis,Belarus,Individual,Moderate
CUST10287,Yousef Miller,United Arab Emirates,Business,Moderate
CUST10288,Ivan Hosseini,Iran,Individual,Low
CUST10289,Ahmed Davis,United Arab Emirates,Individual,Low
CUST10290,Wei Zhang,Syria,Individual,Moderate
CUST10291,Farid Karimi,Nigeria,Individual,High
CUST10292,Hassan Al Rashid,Nigeria,Individual,High
CUST10293,John Khalil,Belarus,Individual,Moderate
CUST10294,Ali Miller,Mexico,Individual,Low
CUST10295,David Khalil,Belarus,Individual,Low
CUST10296,Mohammed Mansour,Nigeria,Individual,High
CUST10297,Farid Khalil,Nigeria,Individual,Moderate
CUST10298,Jin Petrov,United Kingdom,Individual,Low
CUST10299,Wei Hosseini,Russia,Individual,Moderate
CUST10300,Michael Volkov,Canada,Business,Low
CUST10301,David Karimi,Iran,Individual,Low
CUST10302,Nikolai Khalil,United Arab Emirates,Individual,Low
CUST10303,Farid Johnson,Syria,Business,Low
CUST10304,Ahmed Hosseini,United States,Individual,High
CUST10305,Nikolai Petrov,Belarus,Individual,High
CUST10306,Sarah Brown,United States,Individual,Low
CUST10307,David Karimi,Canada,Individual,Low
CUST10308,Nikolai Al Rashid,Mexico,Individual,Low
CUST10309,Mohammed Nouri,Turkey,Business,Moderate
CUST10310,Farid Nouri,Belarus,Individual,Moderate
CUST10311,Sarah Nouri,United States,Business,High
CUST10312,Sergei Zhang,Canada,Individual,Low
CUST10313,Omar Al Rashid,Nigeria,Individual,Low
CUST10314,James Petrov,Canada,Business,Moderate
CUST10315,John Mansour,Syria,Individual,Moderate
CUST10316,Sarah Khalil,Russia,Individual,Moderate
CUST10317,Samir Haddad,United Arab Emirates,Business,Low
CUST10318,John Haddad,United Arab Emirates,Individual,Moderate
CUST10319,Omar Brown,Syria,Individual,Low
CUST10320,Farid Wang,Iran,Individual,Low
CUST10321,Hassan Rahimi,Canada,Individual,Low
CUST10322,Nikolai Wang,United Kingdom,Individual,High
CUST10323,Jin Zhang,Belarus,Individual,Low
CUST10324,Samir Haddad,Canada,Individual,High
CUST10325,Ivan Petrov,Turkey,Individual,Low
CUST10326,Sarah Wang,Nigeria,Individual,Low
CUST10327,Omar Al Rashid,United Kingdom,Individual,Moderate
CUST10328,Omar Wang,Mexico,Individual,Moderate
CUST10329,Hassan Ivanov,Turkey,Individual,Low
CUST10330,Robert Rahimi,Nigeria,Individual,Low
CUST10331,Yousef Brown,Iran,Business,Low
CUST10332,Ahmed Al Rashid,Nigeria,Business,Low
CUST10333,Samir Nouri,Syria,Individual,Low
CUST10334,Farid Al Rashid,United Arab Emirates,Business,Low
CUST10335,Omar Nouri,United Arab Emirates,Individual,Moderate
CUST10336,Yousef Volkov,Turkey,Individual,Low
CUST10337,Yousef Hosseini,India,Individual,Low
CUST10338,Samir Sokolov,Iran,Individual,Low
CUST10339,Ahmed Petrov,Russia,Individual,Low
CUST10340,Nikolai Johnson,Belarus,Individual,Low
CUST10341,James Smith,India,Individual,Low
CUST10342,Viktor Zhang,Belarus,Individual,Low
CUST10343,Jin Johnson,Syria,Business,High
CUST10344,Nikolai Miller,Mexico,Business,Moderate
CUST10345,Ahmed Wang,Syria,Individual,Moderate
CUST10346,Samir Khalil,Canada,Business,Low
CUST10347,Jin Ivanov,Nigeria,Individual,Low
CUST10348,Ali Volkov,Nigeria,Individual,Low
CUST10349,Farid Miller,United Arab Emirates,Individual,Moderate
CUST10350,David Miller,Turkey,Business,Moderate
CUST10351,Wei Haddad,India,Business,Low
CUST10352,Karim Khalil,Syria,Business,Moderate
CUST10353,John Mansour,Syria,Individual,Low
CUST10354,Wei Smith,Nigeria,Individual,Moderate
CUST10355,Ali Al Rashid,Russia,Individual,Moderate
CUST10356,Farid Khalil,Canada,Individual,High
CUST10357,James Davis,Nigeria,Business,Low
CUST10358,Reza Brown,United Kingdom,Business,Low
CUST10359,Reza Brown,Mexico,Individual,Moderate
CUST10360,Ivan Khalil,Belarus,Individual,High
CUST10361,Wei Brown,Nigeria,Individual,Low
CUST10362,Ivan Rahimi,United States,Individual,High
CUST10363,Wei Haddad,Russia,Individual,Moderate
CUST10364,Samir Johnson,Russia,Business,Low
CUST10365,Sarah Wang,Russia,Individual,High
CUST10366,Reza Hosseini,United Kingdom,Individual,Low
CUST10367,Wei Mansour,Belarus,Individual,Low
CUST10368,Omar Al Rashid,Russia,Individual,High
CUST10369,John Ivanov,Turkey,Individual,Low
CUST10370,Samir Al Rashid,Canada,Individual,Low
CUST10371,Wei Ivanov,Belarus,Individual,Low
CUST10372,David Volkov,Belarus,Individual,Low
CUST10373,Ali Hosseini,India,Individual,High
CUST10374,Michael Rahimi,Syria,Individual,Moderate
CUST10375,Jin Miller,Mexico,Individual,High
CUST10376,Nikolai Miller,Mexico,Individual,Moderate
CUST10377,Farid Ivanov,United States,Individual,Low
CUST10378,Robert Volkov,United Kingdom,Individual,Moderate
CUST10379,Sarah Smith,Canada,Individual,Low
CUST10380,Reza Hosseini,Nigeria,Business,High
CUST10381,David Smith,United States,Individual,Low
CUST10382,John Wang,United States,Individual,Low
CUST10383,Reza Miller,Mexico,Individual,Moderate
CUST10384,John Haddad,India,Individual,Low
CUST10385,John Haddad,Syria,Individual,Low
CUST10386,Farid Sokolov,Mexico,Individual,Low
CUST10387,Reza Khalil,Mexico,Individual,Low
CUST10388,Karim Miller,Belarus,Individual,Low
CUST10389,Ali Ivanov,Syria,Individual,Low
CUST10390,Karim Karimi,India,Individual,Low
CUST10391,Michael Khalil,Nigeria,Individual,Low
CUST10392,John Davis,Mexico,Individual,Low
CUST10393,Sarah Rahimi,United Kingdom,Individual,Low
CUST10394,John Ivanov,Canada,Individual,Low
CUST10395,John Brown,Russia,Individual,Moderate
CUST10396,Robert Khalil,Canada,Individual,Low
CUST10397,Mohammed Ivanov,Belarus,Individual,Low
CUST10398,John Karimi,Russia,Individual,Moderate
CUST10399,Jin Nouri,United Arab Emirates,Individual,Low
CUST10400,Robert Brown,Syria,Individual,Moderate
CUST10401,Viktor Rahimi,Canada,Individual,Moderate
CUST10402,Yousef Hosseini,Syria,Individual,High
CUST10403,Sarah Miller,Russia,Individual,Low
CUST10404,James Miller,India,Business,Low
CUST10405,Viktor Ivanov,Canada,Individual,Low
CUST10406,Omar Brown,United Kingdom,Business,Moderate
CUST10407,Michael Hosseini,Syria,Individual,High
CUST10408,Omar Karimi,Iran,Individual,Moderate
CUST10409,Sergei Zhang,Nigeria,Individual,Moderate
CUST10410,Jin Al Rashid,Mexico,Individual,High
CUST10411,Reza Brown,Nigeria,Individual,Moderate
CUST10412,Ahmed Miller,Russia,Individual,Low
CUST10413,Ali Davis,Russia,Individual,Low
CUST10414,Farid Zhang,United Kingdom,Individual,Moderate
CUST10415,Karim Davis,Nigeria,Individual,Moderate
CUST10416,Omar Sokolov,Syria,Individual,Low
CUST10417,Omar Smith,United States,Individual,Moderate
CUST10418,Nikolai Sokolov,Canada,Business,Low
CUST10419,James Petrov,Russia,Individual,Low
CUST10420,Hassan Johnson,Mexico,Individual,Low
CUST10421,Michael Petrov,Turkey,Business,Low
CUST10422,Omar Johnson,Canada,Individual,Moderate
CUST10423,Sergei Davis,Belarus,Individual,Moderate
CUST10424,David Haddad,India,Individual,Low
CUST10425,Yousef Miller,Turkey,Individual,Low
CUST10426,Jin Ivanov,Syria,Individual,Low
CUST10427,Karim Smith,United Kingdom,Individual,Low
CUST10428,Sergei Al Rashid,Syria,Individual,Low
CUST10429,Yousef Karimi,India,Business,Low
CUST10430,Omar Smith,Canada,Individual,Low
CUST10431,David Johnson,Syria,Individual,Low
CUST10432,Nikolai Miller,Turkey,Individual,Moderate
CUST10433,Mohammed Smith,Turkey,Individual,Moderate
CUST10434,Nikolai Johnson,Belarus,Individual,Low
CUST10435,Karim Sokolov,Iran,Individual,Moderate
CUST10436,Wei Khalil,United Kingdom,Individual,Low
CUST10437,Ali Karimi,United Arab Emirates,Individual,Low
CUST10438,Hassan Rahimi,Iran,Business,Low
CUST10439,Sergei Ivanov,Belarus,Individual,Low
CUST10440,Yousef Smith,United Arab Emirates,Individual,Low
CUST10441,Karim Haddad,Russia,Individual,Low
CUST10442,Michael Sokolov,Belarus,Individual,Low
CUST10443,Ahmed Miller,Nigeria,Individual,Moderate
CUST10444,Robert Mansour,India,Individual,Low
CUST10445,Omar Rahimi,Syria,Business,High
CUST10446,Karim Wang,United Kingdom,Business,Low
CUST10447,Nikolai Johnson,India,Individual,Low
CUST10448,Reza Davis,Canada,Individual,Low
CUST10449,Michael Hosseini,Nigeria,Business,Low
CUST10450,Mohammed Volkov,United States,Individual,Low
CUST10451,James Smith,Nigeria,Business,Low
CUST10452,Reza Miller,Belarus,Individual,Moderate
CUST10453,Omar Zhang,India,Individual,Low
CUST10454,Mohammed Karimi,India,Individual,Moderate
CUST10455,John Hosseini,Turkey,Individual,High
CUST10456,Ivan Davis,Mexico,Individual,Moderate
CUST10457,Ali Hosseini,Belarus,Individual,Moderate
CUST10458,Nikolai Sokolov,Canada,Individual,Low
CUST10459,John Rahimi,Syria,Individual,Low
CUST10460,Wei Al Rashid,Belarus,Individual,Low
CUST10461,Mohammed Wang,Mexico,Individual,Low
CUST10462,Farid Sokolov,Canada,Individual,High
CUST10463,Reza Smith,United Kingdom,Business,Low
CUST10464,Ahmed Al Rashid,Syria,Individual,Moderate
CUST10465,Viktor Volkov,India,Individual,Moderate
CUST10466,David Rahimi,Nigeria,Individual,High
CUST10467,Ali Sokolov,Canada,Individual,High
CUST10468,James Petrov,United Kingdom,Individual,Low
CUST10469,Wei Zhang,Canada,Individual,Moderate
CUST10470,Robert Khalil,Russia,Individual,Low
CUST10471,Robert Sokolov,United Kingdom,Business,High
CUST10472,Ali Ivanov,Mexico,Individual,Low
CUST10473,Wei Hosseini,Belarus,Individual,Moderate
CUST10474,Nikolai Ivanov,United States,Individual,Low
CUST10475,Mohammed Haddad,Belarus,Individual,Moderate
CUST10476,Hassan Brown,India,Individual,Moderate
CUST10477,Ahmed Al Rashid,Syria,Business,Low
CUST10478,Wei Brown,India,Individual,Low
CUST10479,Michael Al Rashid,United States,Individual,Low
CUST10480,Nikolai Mansour,India,Individual,Low
CUST10481,Reza Hosseini,Turkey,Business,Moderate
CUST10482,Hassan Miller,Belarus,Individual,Low
CUST10483,Omar Petrov,Syria,Individual,Low
CUST10484,Ali Miller,United Arab Emirates,Individual,Low
CUST10485,Reza Sokolov,India,Individual,Low
CUST10486,Wei Khalil,United States,Business,Moderate
CUST10487,James Petrov,United States,Business,Moderate
CUST10488,Viktor Wang,United States,Individual,Low
CUST10489,Sergei Petrov,United Arab Emirates,Individual,Low
CUST10490,Yousef Johnson,India,Business,Low
CUST10491,Omar Al Rashid,Belarus,Individual,Low
CUST10492,Sarah Zhang,Nigeria,Individual,Low
CUST10493,Sarah Rahimi,Iran,Business,Low
CUST10494,Omar Zhang,United States,Individual,Low
CUST10495,Sarah Sokolov,Canada,Individual,Moderate
CUST10496,John Volkov,Belarus,Individual,Low
CUST10497,Sarah Ivanov,United Arab Emirates,Individual,Low
CUST10498,Ahmed Volkov,Canada,Individual,Moderate
CUST10499,Samir Sokolov,Mexico,Individual,Moderate
CUST10500,Reza Nouri,Canada,Individual,Low
CUST10501,Hassan Davis,India,Individual,Low
CUST10502,Robert Nouri,Syria,Individual,Low
CUST10503,Nikolai Wang,United States,Business,Low
CUST10504,Farid Karimi,Iran,Individual,Low
CUST10505,James Sokolov,India,Individual,Low
CUST10506,Ali Haddad,Turkey,Individual,Moderate
CUST10507,Yousef Johnson,Syria,Individual,Low
CUST10508,Wei Sokolov,United Kingdom,Individual,Low
CUST10509,Ahmed Zhang,Belarus,Individual,Low
CUST10510,John Miller,United Kingdom,Individual,High
CUST10511,Sarah Petrov,United Arab Emirates,Business,Moderate
CUST10512,Michael Khalil,United States,Individual,Low
CUST10513,David Volkov,India,Individual,Low
CUST10514,Omar Hosseini,Canada,Individual,Low
CUST10515,John Nouri,Canada,Individual,High
CUST10516,Hassan Brown,United Kingdom,Individual,Low
CUST10517,Robert Rahimi,Mexico,Individual,Moderate
CUST10518,Ivan Sokolov,Russia,Individual,Low
CUST10519,Sergei Khalil,Syria,Individual,High
CUST10520,Sarah Wang,Iran,Business,Moderate
CUST10521,Sergei Khalil,Canada,Individual,Low
CUST10522,Mohammed Petrov,Nigeria,Individual,Low
CUST10523,Yousef Zhang,Iran,Individual,High
CUST10524,Michael Johnson,Syria,Individual,Low
CUST10525,Samir Volkov,Iran,Individual,Moderate
CUST10526,Samir Khalil,Mexico,Individual,Low
CUST10527,Karim Nouri,Russia,Individual,Low
CUST10528,Sergei Volkov,Russia,Individual,Moderate
