transaction_id,transaction_date,customer_id,counterparty_id,amount,channel,counterparty_name,country
PAY300069,2026-04-18,CUST10898,CP20241,6621.23,Trade Payment,Ali Petrov,Nigeria
PAY300070,2026-03-09,CUST10695,CP23007,10628.19,Trade Payment,Sergei Smith,United States
PAY300071,2026-05-16,CUST10932,CP22108,2918.2,Wire,Farid Smith,Iran
PAY300072,2026-06-18,CUST10092,CP26121,5605.96,Trade Payment,Karim Sokolov,India
PAY300073,2026-02-24,CUST11228,CP22089,2277.4,P2P,Ahmed Lee,Mexico
PAY300074,2026-06-23,CUST11625,CP21761,4651.45,Wire,Karim Hosseini,Iran
PAY300075,2026-04-03,CUST10134,CP21467,18562.69,P2P,Sara Mansour,United Arab Emirates
PAY300076,2026-03-02,CUST10109,CP23534,5931.1,Wire,Farid Smith,Russia
PAY300077,2026-03-19,CUST11648,CP24604,4452.45,Card,Jin Karimi,Canada
PAY300078,2026-05-28,CUST10799,CP20123,6769.57,P2P,Mark Al Rashid,Syria
PAY300079,2026-08-18,CUST11730,CP22840,29892.53,Card,Ahmed Smith,Syria
PAY300080,2026-03-12,CUST11416,CP23493,12237.52,ACH,Viktor Rahimi,Syria
PAY300081,2026-03-29,CUST11609,CP22701,7403.49,Trade Payment,Samir Smith,United Kingdom
PAY300082,2026-03-31,CUST11365,CP20323,30564.48,Trade Payment,Ali Brown,Canada
PAY300083,2026-01-28,CUST10188,CP22708,26936.74,Wire,Hassan Nouri,United Arab Emirates
PAY300084,2026-05-06,CUST11154,CP27809,2800.85,P2P,Peter Sokolov,Nigeria
PAY300085,2026-04-09,CUST10280,CP22882,17545.49,Wire,Karim Rahimi,Russia
PAY300086,2026-09-23,CUST11275,CP26215,2460.82,Wire,Anna Karimi,Syria
PAY300087,2026-06-19,CUST10390,CP26658,24841.38,ACH,Viktor Zhang,United States
PAY300088,2026-07-27,CUST10587,CP23756,4454.17,Trade Payment,Samir Zhang,Turkey
PAY300089,2026-01-03,CUST10502,CP26276,17057.74,P2P,Samir Khalil,Syria
PAY300090,2026-08-29,CUST10212,CP24282,1727.89,ACH,Karim Nouri,United Arab Emirates
PAY300091,2026-09-12,CUST10370,CP20731,2469.28,Card,Farid Volkov,United Arab Emirates
PAY300092,2026-03-01,CUST10422,CP22081,2473.48,P2P,Hassan Rahimi,Belarus
PAY300093,2026-02-26,CUST11469,CP24602,4357.22,Wire,John Zhang,Nigeria
PAY300094,2026-09-23,CUST10636,CP25929,23185.23,Wire,Karim Nouri,Turkey
PAY300095,2026-04-09,CUST11264,CP21984,13867.09,Card,Nikolai Zhang,India
PAY300096,2026-08-09,CUST10156,CP21826,5747.28,Trade Payment,Mohammed Volkov,Canada
PAY300097,2026-04-12,CUST11711,CP22071,3058.63,ACH,Peter Sokolov,Canada
PAY300098,2026-06-04,CUST10698,CP23448,19614.65,Wire,Ahmed Mansour,United Kingdom
PAY300099,2026-04-30,CUST11597,CP20145,13421.41,Wire,Mark Karimi,India
PAY300100,2026-03-24,CUST11486,CP20643,64891.99,Wire,Mark Sokolov,Russia
PAY300101,2026-07-10,CUST10311,CP27072,75111.76,Wire,Mark Khalil,Iran
PAY300102,2026-07-22,CUST10755,CP24860,11324.11,ACH,Ivan Al Rashid,Mexico
PAY300103,2026-09-10,CUST11252,CP27211,35587.66,Trade Payment,Mark Wilson,United Arab Emirates
PAY300104,2026-03-28,CUST11906,CP27810,26531.8,Trade Payment,Samir Wang,Turkey
PAY300105,2026-08-23,CUST10983,CP20635,8313.32,P2P,Samir Haddad,Nigeria
PAY300106,2026-09-03,CUST10969,CP27985,18123.86,Wire,Peter Lee,United States
PAY300107,2026-07-31,CUST11484,CP24456,1754.26,Wire,Karim Volkov,Iran
PAY300108,2026-02-18,CUST10429,CP23011,10487.81,Card,Reza Lee,Iran
PAY300109,2026-09-10,CUST11086,CP25679,3882.38,Wire,Jin Rahimi,Iran
PAY300110,2026-03-17,CUST10958,CP22242,6975.73,P2P,Farid Al Rashid,Turkey
PAY300111,2026-03-31,CUST10674,CP20803,2255.49,ACH,John Hosseini,India
PAY300112,2026-06-11,CUST11206,CP24351,47866.48,Trade Payment,Farid Rahimi,Canada
PAY300113,2026-05-01,CUST10711,CP21177,9503.39,ACH,Viktor Sokolov,Russia
PAY300114,2026-05-25,CUST10351,CP27500,7985.99,Card,Mark Volkov,Iran
PAY300115,2026-06-18,CUST10778,CP20280,2525.3,Card,Sergei Petrov,Belarus
PAY300116,2026-06-08,CUST10525,CP22465,15897.17,Wire,Ivan Lee,Syria
PAY300117,2026-01-14,CUST10622,CP26988,10965.47,Wire,Sergei Sokolov,Syria
PAY300118,2026-09-27,CUST11199,CP22437,6380.15,ACH,Ivan Volkov,Syria
PAY300119,2026-02-26,CUST11021,CP24547,3231.7,ACH,Hassan Al Rashid,Russia
PAY300120,2026-08-03,CUST10756,CP21856,5055.23,Wire,Karim Ivanov,United Kingdom
PAY300121,2026-06-21,CUST10296,CP26291,8989.28,Card,Jin Wilson,Nigeria
PAY300122,2026-03-11,CUST10900,CP25124,5929.84,Wire,Peter Petrov,Turkey
PAY300123,2026-03-17,CUST10336,CP22645,21416.64,ACH,Jin Karimi,United States
PAY300124,2026-01-18,CUST11835,CP23704,16643.88,Wire,Sergei Lee,United States
PAY300125,2026-03-09,CUST11379,CP25308,8438.64,P2P,Anna Brown,Russia
PAY300126,2026-08-06,CUST11005,CP22076,8595.69,P2P,Hassan Al Rashid,United States
PAY300127,2026-03-27,CUST11265,CP21172,45039.41,Card,Jin Hosseini,United States
PAY300128,2026-01-17,CUST10454,CP25624,42259.28,Card,Anna Haddad,United States
PAY300129,2026-07-05,CUST10699,CP21740,8043.97,P2P,John Zhang,Iran
PAY300130,2026-06-01,CUST10020,CP26821,6997.91,ACH,Ivan Al Rashid,Turkey
PAY300131,2026-07-24,CUST11208,CP25997,66902.13,Wire,Nikolai Hosseini,Turkey
PAY300132,2026-04-25,CUST10883,CP21269,20647.76,Wire,Yousef Petrov,Syria
PAY300133,2026-02-03,CUST11786,CP23241,7408.68,ACH,Yousef Karimi,Turkey
PAY300134,2026-07-12,CUST11278,CP20703,5576.13,Card,Wei Sokolov,Canada
PAY300135,2026-04-10,CUST11612,CP21412,14336.26,Trade Payment,Jin Wilson,Nigeria
PAY300136,2026-03-05,CUST11790,CP26778,9265.78,Wire,Ivan Zhang,Syria
PAY300137,2026-08-16,CUST11104,CP22432,5799.42,ACH,Ivan Mansour,Mexico
PAY300138,2026-03-21,CUST10835,CP24539,7375.04,Wire,Ahmed Hosseini,India
PAY300139,2026-09-21,CUST11806,CP24753,2938.3,Trade Payment,Sara Mansour,Canada
PAY300140,2026-02-11,CUST10009,CP22972,10801.19,P2P,John Petrov,United States
PAY300141,2026-05-06,CUST11565,CP21981,4011.82,Wire,Yousef Rahimi,Syria
PAY300142,2026-06-01,CUST10018,CP26877,1196.39,Trade Payment,Wei Ivanov,United States
PAY300143,2026-01-20,CUST10934,CP20499,124471.99,Trade Payment,Ahmed Lee,United Arab Emirates
PAY300144,2026-02-25,CUST11782,CP22149,1518.18,Card,Sergei Smith,Syria
PAY300145,2026-02-22,CUST10236,CP21951,13331.06,Wire,Ahmed Volkov,Nigeria
PAY300146,2026-07-03,CUST10355,CP25138,27655.48,Card,Peter Karimi,United Arab Emirates
PAY300147,2026-06-04,CUST10145,CP25329,4576.06,Trade Payment,Viktor Mansour,Nigeria
PAY300148,2026-06-02,CUST11834,CP27058,3907.08,Wire,Yousef Volkov,Mexico
PAY300149,2026-06-26,CUST10894,CP25542,1060.41,Wire,Sara Khalil,India
PAY300150,2026-07-31,CUST11536,CP26829,171.3,Trade Payment,Samir Mansour,Mexico
PAY300151,2026-03-12,CUST11393,CP25844,18797.23,Card,Peter Mansour,Canada
PAY300152,2026-06-02,CUST11565,CP20707,22091.52,Wire,Wei Al Rashid,India
PAY300153,2026-01-07,CUST11425,CP26711,20878.72,Wire,Ahmed Karimi,Nigeria
PAY300154,2026-07-26,CUST10392,CP23418,2331.4,ACH,Samir Rahimi,Mexico
PAY300155,2026-01-02,CUST10666,CP25669,42114.12,Card,Karim Hosseini,Nigeria
PAY300156,2026-04-21,CUST10095,CP26573,7542.79,Trade Payment,Yousef Mansour,Syria
PAY300157,2026-04-18,CUST10499,CP20942,10164.09,P2P,Ivan Al Rashid,India
PAY300158,2026-09-30,CUST11021,CP24362,16105.54,Wire,Sergei Wilson,Syria
PAY300159,2026-07-26,CUST11673,CP21268,3008.84,Wire,Samir Petrov,Canada
PAY300160,2026-05-14,CUST11592,CP22920,8697.11,ACH,Sara Ivanov,Turkey
PAY300161,2026-06-28,CUST10652,CP27772,1738.0,Wire,Anna Khalil,Belarus
PAY300162,2026-09-20,CUST10278,CP27111,14633.38,Card,Sergei Brown,Mexico
PAY300163,2026-03-22,CUST10410,CP20986,6630.43,ACH,John Petrov,Russia
PAY300164,2026-07-05,CUST11831,CP21833,3178.92,Trade Payment,Ahmed Petrov,United Arab Emirates
PAY300165,2026-08-11,CUST11002,CP21474,9521.74,Wire,Ivan Wilson,United Arab Emirates
PAY300166,2026-09-30,CUST11613,CP23481,2615.13,Wire,Jin Ivanov,Belarus
PAY300167,2026-05-10,CUST11271,CP27616,1096.11,ACH,Mohammed Nouri,Nigeria
PAY300168,2026-08-11,CUST10218,CP27741,11157.1,Wire,Peter Brown,Canada
PAY300169,2026-07-22,CUST11048,CP20868,2167.89,Trade Payment,Sara Ivanov,United States
PAY300170,2026-01-31,CUST10344,CP24877,3434.3,Trade Payment,Wei Sokolov,United Arab Emirates
PAY300171,2026-05-18,CUST10345,CP21780,1556.45,Wire,Sergei Haddad,Belarus
PAY300172,2026-04-27,CUST11858,CP21725,3085.38,ACH,Karim Al Rashid,Mexico
PAY300173,2026-04-26,CUST11683,CP20656,1423.1,P2P,Sara Lee,United States
PAY300174,2026-06-20,CUST10345,CP25100,2813.65,ACH,Nikolai Ivanov,Belarus
PAY300175,2026-03-12,CUST11095,CP21185,5468.36,Wire,Karim Nouri,Canada
PAY300176,2026-05-05,CUST11840,CP21749,6758.15,Card,Farid Hosseini,Mexico
PAY300177,2026-01-29,CUST11075,CP27718,23322.03,Card,Mohammed Mansour,Nigeria
PAY300178,2026-01-04,CUST11493,CP25720,8865.41,Trade Payment,Mohammed Rahimi,Belarus
PAY300179,2026-02-08,CUST10290,CP24523,8766.88,ACH,Wei Karimi,Belarus
PAY300180,2026-03-13,CUST11585,CP20207,2710.57,P2P,Reza Zhang,United Arab Emirates
PAY300181,2026-06-02,CUST11100,CP27551,5596.84,Card,Farid Ivanov,Syria
PAY300182,2026-02-12,CUST11578,CP25306,20672.47,Card,Wei Nouri,United Kingdom
PAY300183,2026-06-23,CUST10375,CP23082,3767.49,ACH,Karim Sokolov,Syria
PAY300184,2026-09-02,CUST10615,CP25758,12942.32,Wire,Omar Sokolov,India
PAY300185,2026-09-11,CUST11724,CP20476,19632.17,Wire,Reza Wang,India
PAY300186,2026-07-06,CUST11823,CP22583,7637.94,Trade Payment,Jin Wilson,Mexico
PAY300187,2026-03-04,CUST11042,CP22717,8911.12,Card,John Wang,Canada
PAY300188,2026-03-20,CUST10841,CP21054,11389.67,ACH,Sara Volkov,United Arab Emirates
PAY300189,2026-03-09,CUST10870,CP23024,17839.59,ACH,Anna Lee,United States
PAY300190,2026-03-29,CUST11118,CP27770,64068.32,Wire,Viktor Khalil,Russia
PAY300191,2026-05-13,CUST11573,CP24763,3327.66,Wire,Peter Hosseini,India
PAY300192,2026-01-03,CUST10120,CP26176,5338.55,Card,Sara Al Rashid,United Arab Emirates
PAY300193,2026-03-12,CUST11394,CP24259,3016.53,Wire,Anna Wang,Turkey
PAY300194,2026-01-24,CUST11727,CP27780,8060.77,Wire,Peter Volkov,United Kingdom
PAY300195,2026-02-03,CUST10883,CP25126,3759.93,Wire,Sergei Wilson,Mexico
PAY300196,2026-03-18,CUST11856,CP27299,5744.74,Wire,Viktor Mansour,Iran
PAY300197,2026-01-18,CUST10578,CP23472,7797.3,Wire,Omar Rahimi,United Kingdom
PAY300198,2026-07-15,CUST11924,CP24201,8129.5,Trade Payment,Viktor Smith,Turkey
PAY300199,2026-04-25,CUST11120,CP21389,11336.67,P2P,Ahmed Rahimi,Iran
PAY300200,2026-08-05,CUST11815,CP20857,4893.63,ACH,Sergei Mansour,United Arab Emirates
PAY300201,2026-08-18,CUST11690,CP27388,31671.94,Wire,John Mansour,India
PAY300202,2026-01-01,CUST11681,CP23493,2966.76,Card,Viktor Rahimi,Syria
PAY300203,2026-06-02,CUST11924,CP27373,2628.93,P2P,John Hosseini,Belarus
PAY300204,2026-03-01,CUST10817,CP26874,8427.49,Wire,Farid Lee,Canada
PAY300205,2026-06-07,CUST11006,CP27084,23870.67,P2P,Farid Ivanov,Iran
PAY300206,2026-04-23,CUST11728,CP22168,6220.78,P2P,John Haddad,India
PAY300207,2026-08-26,CUST10458,CP24209,15211.79,P2P,Peter Haddad,Canada
PAY300208,2026-07-05,CUST10652,CP21221,6440.56,Wire,John Volkov,United Kingdom
PAY300209,2026-01-05,CUST11658,CP27646,32482.97,Trade Payment,Sara Sokolov,Nigeria
PAY300210,2026-06-04,CUST11209,CP26852,19449.68,Card,Omar Wilson,Russia
PAY300211,2026-04-12,CUST10597,CP20680,8828.07,P2P,Ivan Rahimi,Syria
PAY300212,2026-08-24,CUST10167,CP21843,1990.74,Wire,Ali Al Rashid,Russia
PAY300213,2026-01-09,CUST11212,CP23106,8881.54,ACH,Ivan Brown,Iran
PAY300214,2026-05-23,CUST10432,CP21270,1628.77,ACH,Nikolai Wilson,United Arab Emirates
PAY300215,2026-01-14,CUST10743,CP26728,8090.02,P2P,Mark Brown,Mexico
PAY300216,2026-06-13,CUST10837,CP22699,14017.23,Wire,Peter Ivanov,India
PAY300217,2026-02-12,CUST10202,CP25267,4230.69,P2P,Karim Brown,Turkey
PAY300218,2026-01-21,CUST10366,CP21633,2513.35,ACH,Sara Volkov,India
PAY300219,2026-08-11,CUST10347,CP21566,3429.39,Wire,Ali Lee,Iran
PAY300220,2026-07-14,CUST10363,CP27896,17599.54,P2P,Ahmed Karimi,India
PAY300221,2026-09-24,CUST11286,CP21099,43496.08,Wire,Omar Ivanov,Belarus
PAY300222,2026-08-14,CUST10042,CP24657,4576.87,Card,Sara Wilson,Belarus
PAY300223,2026-04-03,CUST11381,CP22686,3799.67,Card,Mark Al Rashid,United Arab Emirates
PAY300224,2026-04-06,CUST11139,CP25161,3002.72,Wire,Ahmed Rahimi,Iran
PAY300225,2026-02-25,CUST11823,CP27159,10019.74,Wire,Omar Volkov,United Kingdom
PAY300226,2026-09-26,CUST10714,CP20739,4989.59,Card,Sergei Wang,Syria
PAY300227,2026-04-21,CUST10721,CP27247,7507.06,P2P,Karim Brown,Mexico
PAY300228,2026-04-20,CUST11320,CP20966,5761.1,Card,Ahmed Ivanov,Canada
PAY300229,2026-09-24,CUST10096,CP26065,4957.47,P2P,Farid Wilson,Canada
PAY300230,2026-02-14,CUST10243,CP23826,3106.29,Card,Reza Wilson,Nigeria
PAY300231,2026-06-26,CUST10073,CP22813,55998.71,ACH,Hassan Petrov,Turkey
PAY300232,2026-06-20,CUST10682,CP20152,74569.73,Card,Mohammed Rahimi,United States
PAY300233,2026-02-23,CUST10898,CP27107,3538.67,Card,Omar Haddad,United Kingdom
PAY300234,2026-08-18,CUST10276,CP26908,15248.28,Card,Omar Wilson,United Arab Emirates
PAY300235,2026-08-23,CUST11354,CP24718,14285.54,P2P,Hassan Nouri,Russia
PAY300236,2026-01-02,CUST11735,CP25083,1503.35,P2P,Mark Wang,United States
PAY300237,2026-04-06,CUST10941,CP25287,4056.52,P2P,Yousef Smith,United States
PAY300238,2026-07-11,CUST11652,CP27550,7682.38,Card,Ahmed Khalil,Canada
PAY300239,2026-03-04,CUST11206,CP23232,16809.73,Wire,Viktor Karimi,Iran
PAY300240,2026-07-22,CUST10760,CP23449,9359.81,Trade Payment,Ivan Sokolov,Mexico
PAY300241,2026-02-07,CUST11692,CP24665,57417.1,P2P,Viktor Wilson,Turkey
PAY300242,2026-01-27,CUST10436,CP25212,22573.76,Card,Viktor Hosseini,United Arab Emirates
PAY300243,2026-05-20,CUST10120,CP20614,4781.45,Trade Payment,Wei Karimi,Belarus
PAY300244,2026-02-10,CUST11800,CP21613,1931.39,P2P,Samir Volkov,United Kingdom
PAY300245,2026-09-24,CUST10365,CP23831,5762.75,Wire,Ivan Hosseini,United Kingdom
PAY300246,2026-06-01,CUST10398,CP24765,34992.01,Wire,Ivan Volkov,Syria
PAY300247,2026-08-09,CUST11809,CP26077,9493.59,Wire,Karim Hosseini,Canada
PAY300248,2026-06-06,CUST10149,CP22372,8436.34,ACH,Farid Smith,Iran
PAY300249,2026-06-02,CUST10982,CP27276,3624.39,P2P,Ahmed Rahimi,Belarus
PAY300250,2026-06-13,CUST10776,CP22591,9199.46,Wire,Reza Karimi,Syria
PAY300251,2026-04-11,CUST11140,CP24074,26083.12,Card,Samir Petrov,Canada
PAY300252,2026-09-18,CUST10536,CP24893,63805.25,Wire,Yousef Ivanov,Nigeria
PAY300253,2026-08-11,CUST10859,CP24594,5561.38,Wire,Viktor Al Rashid,Turkey
PAY300254,2026-02-14,CUST10759,CP25413,5700.45,Card,Omar Volkov,Nigeria
PAY300255,2026-07-25,CUST10166,CP23423,1772.18,Card,Omar Al Rashid,Turkey
PAY300256,2026-03-01,CUST11440,CP26950,8787.27,Wire,Wei Wilson,United Arab Emirates
PAY300257,2026-08-08,CUST11922,CP23920,2484.16,P2P,Wei Mansour,India
PAY300258,2026-04-20,CUST10080,CP24872,8839.5,ACH,John Hosseini,India
PAY300259,2026-03-28,CUST10150,CP22668,4098.94,ACH,Sergei Wilson,United Kingdom
PAY300260,2026-06-23,CUST11913,CP25791,8255.74,P2P,Ahmed Zhang,United Arab Emirates
PAY300261,2026-01-17,CUST11360,CP20232,21696.63,Card,Hassan Mansour,Canada
PAY300262,2026-07-09,CUST11408,CP21187,4561.65,ACH,Ivan Sokolov,Nigeria
PAY300263,2026-06-08,CUST10709,CP21482,6675.79,Trade Payment,Hassan Sokolov,Canada
PAY300264,2026-01-24,CUST11450,CP22937,5278.24,Wire,Hassan Hosseini,Canada
PAY300265,2026-04-07,CUST10338,CP24571,6427.53,ACH,Samir Mansour,Nigeria
PAY300266,2026-07-17,CUST10659,CP20057,69814.29,Trade Payment,Wei Hosseini,United Arab Emirates
PAY300267,2026-06-16,CUST11115,CP21593,1512.0,P2P,Ahmed Sokolov,United Kingdom
PAY300268,2026-07-13,CUST11379,CP26219,7332.76,ACH,Mohammed Karimi,Russia
PAY300269,2026-02-15,CUST10277,CP23510,4413.55,Trade Payment,Omar Brown,Belarus
PAY300270,2026-04-18,CUST11494,CP22583,3609.79,Card,Jin Wilson,Mexico
PAY300271,2026-07-08,CUST10638,CP23101,2553.73,Wire,Karim Wang,Belarus
PAY300272,2026-02-17,CUST10775,CP26337,18415.68,Wire,Ali Lee,India
PAY300273,2026-09-25,CUST10596,CP26181,29159.27,P2P,Omar Mansour,Turkey
PAY300274,2026-09-26,CUST10077,CP22129,26374.89,Wire,Yousef Haddad,Turkey
PAY300275,2026-09-15,CUST10085,CP26891,5245.34,P2P,Ahmed Rahimi,Canada
PAY300276,2026-03-19,CUST10572,CP21876,6179.13,Wire,Jin Nouri,Belarus
PAY300277,2026-03-28,CUST10925,CP20774,955.04,Wire,Reza Volkov,Turkey
PAY300278,2026-03-12,CUST11793,CP27422,1525.24,ACH,Mohammed Sokolov,Syria
PAY300279,2026-01-18,CUST11022,CP20481,676.5,ACH,Mohammed Sokolov,India
PAY300280,2026-02-20,CUST11803,CP20161,1498.6,P2P,Viktor Smith,Mexico
PAY300281,2026-03-28,CUST10041,CP20503,2506.9,ACH,Farid Wang,Russia
PAY300282,2026-08-31,CUST10108,CP20148,1473.99,Trade Payment,Yousef Wang,Belarus
PAY300283,2026-04-18,CUST11568,CP20641,2588.71,Wire,Karim Brown,India
PAY300284,2026-02-26,CUST11197,CP24020,12014.63,Trade Payment,Sergei Mansour,Nigeria
PAY300285,2026-04-26,CUST11477,CP21834,5736.17,Card,Peter Smith,Iran
PAY300286,2026-09-05,CUST10344,CP20396,2032.54,ACH,Wei Sokolov,Belarus
PAY300287,2026-09-05,CUST11054,CP20837,6124.16,Wire,Anna Sokolov,Canada
PAY300288,2026-05-03,CUST10704,CP21028,19284.87,Card,Omar Khalil,United Arab Emirates
PAY300289,2026-01-16,CUST10041,CP21104,5517.72,Wire,Sara Zhang,United States
PAY300290,2026-09-13,CUST11808,CP20804,4878.17,Trade Payment,Ali Sokolov,United Arab Emirates
PAY300291,2026-03-06,CUST10283,CP24020,15690.18,Card,Sergei Mansour,Nigeria
PAY300292,2026-06-07,CUST10454,CP21402,10444.45,Wire,Mohammed Petrov,United Arab Emirates
PAY300293,2026-02-12,CUST10888,CP21848,3343.79,Wire,Yousef Volkov,Syria
PAY300294,2026-03-07,CUST11433,CP25964,17157.15,P2P,Hassan Smith,Belarus
PAY300295,2026-01-22,CUST10222,CP21401,4838.99,Trade Payment,Ivan Mansour,United Arab Emirates
PAY300296,2026-03-03,CUST10416,CP22228,14341.73,Trade Payment,Hassan Petrov,Russia
